trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
426,12.050973,273.605914,28,29,18,red,1,3.013656,14.950000,0
427,12.428377,6.899636,0,33,12,red,33,2.772066,14.450000,0
428,12.305698,74.761877,7,3,19,red,33,2.765507,14.866667,0
429,12.299029,48.982194,5,36,26,black,31,2.754321,15.875000,0
430,12.072908,150.813826,15,9,34,red,31,2.742268,16.491667,0
431,12.125759,176.674864,18,13,36,red,32,2.852148,14.270833,0
432,12.397396,199.558543,20,15,30,red,32,2.765147,16.320833,0
433,11.712691,236.707438,24,27,9,red,3,3.064795,15.329167,0
434,12.267997,289.923605,29,24,20,black,32,2.757434,16.295833,0
435,12.279631,211.247805,21,24,20,black,3,3.026143,15.683333,0
436,11.935056,4.554347,0,0,0,green,0,2.960651,15.145833,0
437,12.287268,116.531922,11,12,13,black,1,2.984300,14.762500,0
438,11.669645,94.087654,9,7,25,red,35,2.897444,14.533333,0
439,11.579700,143.185681,14,14,11,black,0,2.947018,14.708333,0
440,11.750845,350.781778,36,28,22,black,29,2.699150,16.237500,0
441,12.187680,8.214568,0,32,28,black,32,2.752356,14.562500,0
442,12.297733,241.196654,24,19,5,red,32,2.834862,14.845833,0
443,12.137719,108.797791,11,13,36,red,2,3.046081,14.845833,0
444,11.777991,160.628635,16,18,10,black,2,3.020045,14.820833,0
445,11.711958,88.760368,9,8,17,black,36,2.968236,14.600000,0
446,12.314677,46.028329,4,7,25,red,3,3.024051,15.250000,0
447,11.818644,342.387951,35,34,35,black,36,2.962949,14.729167,0
448,12.325507,288.530628,29,28,22,black,36,2.787127,14.829167,0
449,12.015276,139.735494,14,8,17,black,31,2.816076,15.416667,0
450,11.752983,249.514256,25,20,24,black,32,2.725306,14.191667,0
451,11.831337,95.696481,9,6,2,black,34,2.866111,14.720833,0
452,12.385650,329.160231,33,28,22,black,32,2.758315,15.929167,0
453,11.675524,6.601099,0,36,26,black,36,2.939211,14.566667,0
454,11.699366,317.811034,32,32,28,black,0,2.952841,14.658333,0
455,11.646186,91.235083,9,7,25,red,35,2.900158,14.804167,0
456,11.650522,231.319703,23,18,10,black,32,2.837837,14.229167,0
457,11.612523,43.763980,4,3,19,red,36,2.952219,14.612500,0
458,12.424837,125.676670,12,12,13,black,0,2.950073,14.691667,0
459,11.505141,304.878094,31,31,7,red,0,2.986119,14.908333,0
460,11.849055,104.894105,10,7,25,red,34,2.868773,14.441667,0
461,12.123197,246.326844,25,20,24,black,32,2.749094,14.437500,0
462,12.121779,114.489057,11,8,17,black,34,2.867290,14.729167,0
463,12.060295,155.802985,16,10,6,black,31,2.731934,15.183333,0
464,11.721993,172.170017,17,15,30,red,35,2.901453,14.783333,0
465,11.667320,99.539956,10,2,15,black,29,2.697092,14.491667,0
466,11.579653,225.863712,23,24,20,black,1,3.012514,15.087500,0
467,12.080638,19.167419,1,34,35,black,33,2.763039,14.758333,0
468,12.340623,151.355024,15,14,11,black,36,2.930681,14.725000,0
469,12.311014,103.792602,10,15,30,red,5,3.076155,15.545833,0
470,11.707218,317.813042,32,29,18,red,34,2.894115,14.250000,0
471,11.766490,38.029550,3,4,4,black,1,2.971308,14.787500,0
472,12.123355,289.105666,29,33,12,red,4,3.083248,15.020833,0
473,11.552884,95.369547,9,7,25,red,35,2.896391,15.120833,0
